	models	N_labels	accuracys
0	Dummy_Classfier	25_positions	0.05154639175257732
1	Dummy_Classfier	9_positions	0.07216494845360824
2	Dummy_Classfier	3_positions	0.29896907216494845
3	Gradient_Boosting	25_positions	0.041237113402061855
4	Gradient_Boosting	9_positions	0.14432989690721648
5	Gradient_Boosting	3_positions	0.4948453608247423
6	Logistic_regression	25_positions	0.05154639175257732
7	Logistic_regression	9_positions	0.16494845360824742
8	Logistic_regression	3_positions	0.5670103092783505
9	SVC	25_positions	0.05154639175257732
10	SVC	9_positions	0.15463917525773196
11	SVC	3_positions	0.44329896907216493
